k_true,k_median,k_p05,k_p95,false_kill_rate,rel_bias
2,2.047304254466249,1.3343524456729512,3.1528004369666216,0.0,0.023652127233124487
5,5.222053365430038,3.4148140690691737,9.091786594256842,0.0,0.04441067308600766
10,10.10995354102489,6.135558998301227,20.009225408256622,0.0,0.010995354102488974
25,27.386710027526142,14.396812754039304,111.65772188629268,0.0,0.0954684011010456
50,49.31238015232974,22.15867420613998,620.8097137078275,0.08,-0.013752396953405244
100,74.02784222737824,29.196650374619274,547.9741486173601,0.245,-0.2597215777262175
250,106.09590240485646,36.040874262899294,1539.6345351616253,0.375,-0.5756163903805742
