deployment,n_episodes,truth,pred_prior,abs_err_prior,abs_err_own_1,abs_err_own_2,abs_err_own_3,abs_err_own_5,abs_err_own_8,abs_err_own_12,abs_err_own_20,abs_err_own_35,abs_err_own_60
andialbrecht__sqlparse,258,0.8062015503875969,0.6069509738079247,0.19925057657967216,0.1937984496124031,0.1937984496124031,0.1937984496124031,0.1937984496124031,0.06879844961240311,0.11046511627906974,0.04379844961240309,0.006201550387596844,0.006201550387596844
scrapy__scrapy,127,1.0,0.606971404717178,0.39302859528282197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paramiko__paramiko,160,0.5125,0.6093972075913385,0.09689720759133857,0.5125,0.012499999999999956,0.17916666666666664,0.31249999999999994,0.012499999999999956,0.012499999999999956,0.13750000000000007,0.20178571428571435,0.10416666666666674
iterative__dvc,1068,0.7565543071161048,0.6015468845050839,0.15500742261102096,0.24344569288389517,0.25655430711610483,0.4232209737827715,0.15655430711610485,0.006554307116104829,0.07677902621722854,0.09344569288389515,0.10058855002675227,0.06011235955056182
mahmoud__glom,198,0.7171717171717171,0.6080221068497739,0.10914961032194326,0.2828282828282829,0.2828282828282829,0.0505050505050505,0.11717171717171715,0.21717171717171713,0.13383838383838376,0.16717171717171708,0.031457431457431406,0.03383838383838378
pydantic__pydantic,646,0.46439628482972134,0.6117511520737328,0.14735486724401142,0.5356037151702786,0.5356037151702786,0.5356037151702786,0.5356037151702786,0.41060371517027866,0.36893704850361203,0.23560371517027862,0.1927465723131358,0.05227038183694538
encode__starlette,332,0.5421686746987951,0.6095157894736842,0.06734711477488908,0.5421686746987951,0.04216867469879515,0.12449799196787148,0.05783132530120483,0.08283132530120485,0.04116465863453822,0.04216867469879515,0.000688468158347666,0.05783132530120483
modin-project__modin,126,0.5714285714285714,0.6094506595424946,0.03802208811392316,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.22857142857142865,0.1785714285714286,0.011904761904761973,0.021428571428571352,0.0,0.0714285714285714
lepture__mistune,268,0.8432835820895522,0.6072478374065675,0.23603574468298472,0.8432835820895522,0.34328358208955223,0.1766169154228856,0.043283582089552186,0.34328358208955223,0.1766169154228856,0.14328358208955227,0.1575692963752665,0.1932835820895522
pydicom__pydicom,336,0.6428571428571429,0.6091131137875853,0.033744029069557646,0.3571428571428571,0.1428571428571429,0.023809523809523725,0.15714285714285714,0.1071428571428571,0.19047619047619047,0.20714285714285707,0.15714285714285714,0.07380952380952377
jawah__charset_normalizer,248,0.5725806451612904,0.6097591675757321,0.03717852241444175,0.42741935483870963,0.42741935483870963,0.09408602150537626,0.02741935483870961,0.07258064516129037,0.15591397849462368,0.07258064516129037,0.058294930875576134,0.022580645161290325
getmoto__moto,1428,0.5,0.6164915688178688,0.11649156881786882,0.5,0.5,0.16666666666666669,0.09999999999999998,0.125,0.0,0.050000000000000044,0.042857142857142816,0.06666666666666665
seperman__deepdiff,288,0.5902777777777778,0.6088929982348491,0.018615220457071313,0.5902777777777778,0.5902777777777778,0.2569444444444445,0.19027777777777777,0.03472222222222221,0.09027777777777779,0.040277777777777746,0.06686507936507935,0.026388888888888906
pygments__pygments,475,0.7226890756302521,0.6063455754649045,0.11634350016534756,0.2773109243697479,0.2773109243697479,0.2773109243697479,0.2773109243697479,0.2773109243697479,0.19397759103641454,0.17731092436974794,0.134453781512605,0.09397759103641457
sqlfluff__sqlfluff,199,0.44,0.610894778712892,0.170894778712892,0.56,0.06,0.22666666666666663,0.15999999999999998,0.06,0.10666666666666669,0.09000000000000002,0.1542857142857143,0.10666666666666669
benoitc__gunicorn,155,0.6153846153846154,0.6088937183934467,0.006490896991168671,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.2596153846153846,0.21794871794871795,0.08461538461538454,0.09890109890109888,0.10128205128205126
tox-dev__pipdeptree,364,0.5659340659340659,0.6097478708154145,0.04381380488134856,0.4340659340659341,0.06593406593406592,0.10073260073260071,0.1659340659340659,0.06593406593406592,0.06593406593406592,0.06593406593406592,0.034065934065934056,0.050732600732600774
adrienverge__yamllint,266,0.6466165413533834,0.6085404769902586,0.03807606436312483,0.3533834586466166,0.14661654135338342,0.020050125313283207,0.15338345864661662,0.10338345864661658,0.10338345864661658,0.10338345864661658,0.0390977443609023,0.036716791979949925
kayak__pypika,121,0.5573770491803278,0.6094069529652352,0.05202990378490735,0.5573770491803278,0.05737704918032782,0.10928961748633881,0.042622950819672156,0.06762295081967218,0.02595628415300555,0.007377049180327777,0.014051522248243575,0.0407103825136611
pyupio__safety,374,0.7219251336898396,0.6072633710140037,0.11466176267583583,0.7219251336898396,0.7219251336898396,0.7219251336898396,0.32192513368983955,0.34692513368983957,0.3052584670231729,0.22192513368983957,0.15049656226126817,0.07192513368983955
spulec__freezegun,175,0.4772727272727273,0.6101560212490066,0.1328832939762793,0.4772727272727273,0.4772727272727273,0.14393939393939398,0.2772727272727273,0.10227272727272729,0.022727272727272707,0.07727272727272727,0.10584415584415585,0.09393939393939393
facebookresearch__hydra,380,0.6789473684210526,0.6079233819930807,0.07102398642797192,0.32105263157894737,0.32105263157894737,0.32105263157894737,0.12105263157894741,0.07105263157894737,0.09561403508771926,0.02894736842105261,0.06390977443609025,0.05438596491228065
sunpy__sunpy,223,0.5892857142857143,0.6094136384592816,0.020127924173567346,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.3892857142857143,0.2142857142857143,0.17261904761904762,0.18928571428571428,0.07500000000000007,0.02261904761904765
python-hyper__h11,190,0.5052631578947369,0.6098275573413695,0.10456439944663265,0.49473684210526314,0.49473684210526314,0.16140350877192977,0.2947368421052632,0.11973684210526314,0.0052631578947368585,0.09473684210526312,0.06616541353383454,0.06140350877192979
