feature,k,k_lo,k_hi,epv,vhm,n_for_z50,separation_ratio
error_rate,5.931510746036635,4.809446207238693,7.9044889256414175,0.007687524976884751,0.0012960483940826482,5.931510746036635,0.16859111326202825
n_turns,8.208418085118051,6.394297665610363,10.251938693137705,1290.8592938183754,157.26042221932101,8.208418085118051,0.12182615330145165
repeat_rate,15.771144674082478,12.487111858840404,25.782754910315713,0.037491443940767095,0.0023772176792201194,15.771144674082478,0.06340693847310593
mutating_share,19.05769208327134,14.49013855699147,31.177328967951247,0.07840339411280003,0.004114002564960202,19.05769208327134,0.052472250870177005
action_entropy,30.677656561242873,23.713306434708404,51.37884602976879,0.6751291274151542,0.022007193609048018,30.677656561242873,0.032597013986504
n_distinct_actions,33.04083704825731,25.435901116875318,53.669732882893555,6.271714040471506,0.18981704462606216,33.04083704825731,0.030265577065722173
n_actions,34.709699063700704,26.22349049074651,52.91803409227829,347.20500165627476,10.00311183969269,34.709699063700704,0.028810390956278756
