name,class_label,k,k_lo,k_hi,mu,epv,vhm,n_episodes,n_deployments,n_for_z50,n_for_z90
one class (deployment = repo),all,7.587121471284458,4.798654921759911,12.155803451904845,0.6090440993272984,0.2108446341240545,0.027789806044631528,24082,125,7.587121471284458,68.28409324156014
class = task family (deployment = repo),combine_file,1.9391103462850257,1.4412011735925838,2.760649483148661,0.7250155183116077,0.13260353299883415,0.06838369629293033,1611,82,1.9391103462850257,17.451993116565237
class = task family (deployment = repo),combine_module,4.400989763323746,2.603283762177192,9.257090381730633,0.655635987590486,0.18551817325446746,0.04215373887040336,967,48,4.400989763323746,39.60890786991372
class = task family (deployment = repo),func_pm_class_rm_funcs,1.200224438214464,0.7121520855100348,2.388613468636698,0.35018050541516244,0.1256880834345623,0.10472048346352995,277,64,1.200224438214464,10.80201994393018
class = task family (deployment = repo),func_pm_ctrl_invert_if,2.312347134068622,1.4301960805166443,3.7018145088934986,0.23738317757009345,0.1271905190480003,0.055004941591190064,535,88,2.312347134068622,20.811124206617603
class = task family (deployment = repo),func_pm_ctrl_shuffle,1.8599426898429094,1.0387173146550674,5.152822207599615,0.13991769547325103,0.07882885696711824,0.04238241177945978,972,93,1.8599426898429094,16.73948420858619
class = task family (deployment = repo),func_pm_remove_assign,2.0826187746255873,1.2581032866580628,3.6329002541372364,0.3389513108614232,0.15251235600928137,0.07323104826839949,534,91,2.0826187746255873,18.743568971630292
class = task family (deployment = repo),func_pm_remove_cond,2.5483533671497183,1.7428887425360091,4.011491335641235,0.5149911816578483,0.180443485422299,0.07080787450765566,567,95,2.5483533671497183,22.93518030434747
class = task family (deployment = repo),func_pm_remove_loop,0.9409949233554248,0.5512372894469794,1.6706887858822748,0.497737556561086,0.12325834542815675,0.13098725866515715,221,62,0.9409949233554248,8.468954310198825
class = task family (deployment = repo),lm_rewrite,14.85149983636376,9.650498163003983,24.092280729316418,0.737212449255751,0.1816965056125447,0.012234219278490815,7390,121,14.85149983636376,133.66349852727387
class = task family (deployment = repo),pr,5.472575755505468,2.8334286561015083,14.328891146322292,0.6254272043745728,0.20056124950984133,0.03664841903889127,8778,87,5.472575755505468,49.253181799549225
one class (deployment = repo x task family),all,4.5113514251529105,3.423829248877193,6.03473193562764,0.659988756579956,0.18431195751780954,0.04085515406540566,19567,307,4.5113514251529105,40.60216282637621
