k_true,k_median,k_p05,k_p95,false_kill_rate,rel_bias
2,2.01458473919757,1.7175194938207792,2.303713982118905,0.0,0.007292369598784987
5,5.119003108968417,4.390028023444537,6.068098094247624,0.0,0.023800621793683252
10,10.00216536283386,8.190389647484954,11.959033190318108,0.0,0.00021653628338613728
25,26.40301439900248,21.831848226540558,30.722185453803025,0.0,0.05612057596009912
50,51.25876722067487,42.52371147057468,60.80420073795201,0.0,0.025175344413497447
100,102.11833281159701,80.21146249226746,152.02515292917678,0.0,0.021183328115970124
250,242.54789465047367,156.71596876744533,450.9951286019105,0.0,-0.029808421398105356
500,471.5872149851799,231.28417213175123,1734.2381525285907,0.0,-0.05682557002964017
1000,811.7368240728814,332.98346033376123,5604.663765317089,0.08333333333333333,-0.1882631759271186
